Ticker,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,Founded,CEO Name,Gender,Salary,Date Announced as CEO
GEN,Information Technology,Systems Software,"Tempe, Arizona",3/25/03,1982,Vincent Pilette,M,"$25,291,365.00 ",11/1/19
GEV,Industrials,Heavy Electrical Equipment,"Cambridge, Massachusetts",4/2/24,2024,Scott Strazik,M,"$7,330,000.00 ",11/15/21
GILD,Health Care,Biotechnology,"Foster City, California",7/1/04,1987,Daniel O'Day,M,"$21,621,253.00 ",3/1/19
GIS,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",3/4/57,1856,Jeffrey Harmening,M,"$16,385,646.00 ",6/1/17
GL,Financials,Life & Health Insurance,"McKinney, Texas",4/30/89,1900,Gary Coleman,M,"$8,904,419.00 ",12/31/22
GLW,Information Technology,Electronic Components,"Corning, New York",2/27/95,1851,Wendell Weeks,M,"$16,169,469.00 ",4/1/05
GM,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",6/6/13,1908,Mary Barra,F,"$28,979,570.00 ",1/15/14
GNRC,Industrials,Electrical Components & Equipment,"Waukesha, Wisconsin",3/22/21,1959,Aaron Jagdfeld,M,"$6,807,676.00 ",8/20/08
GOOGL,Communication Services,Interactive Media & Services,"Mountain View, California",4/3/14,1998,Sundar Pichai,M,"$225,985,145.00 ",8/10/15
GPC,Consumer Discretionary,Distributors,"Atlanta, Georgia",12/31/73,1925,Paul Donahue,M,"$10,376,689.00 ",4/29/24
GPN,Financials,Transaction & Payment Processing Services,"Atlanta, Georgia",4/25/16,2000,Jeffrey Sloan,M,"$22,270,578.00 ",6/1/23
GRMN,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",12/12/12,1989,Clifton Pemble,M,"$4,317,591.00 ",1/1/13
GS,Financials,Investment Banking & Brokerage,"New York City, New York",7/22/02,1869,David Solomon,M,"$31,609,420.00 ",10/1/18
GWW,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",6/30/81,1927,Donald G. Macpherson,M,"$9,967,658.00 ",8/8/16
HAL,Energy,Oil & Gas Equipment & Services,"Houston, Texas",3/4/57,1919,Jeffrey Miller,M,"$23,402,317.00 ",5/17/17
HAS,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",9/30/84,1923,Christian Cocks,M,"$9,443,047.00 ",1/5/22
HBAN,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",8/28/97,1866,Stephen Steinour,M,"$10,484,975.00 ",1/14/09
HCA,Health Care,Health Care Facilities,"Nashville, Tennessee",1/27/15,1968,Samuel Hazen,M,"$14,637,726.00 ",1/1/19
HD,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",3/31/88,1978,Edward Decker,M,"$14,519,789.00 ",3/1/22
HES,Energy,Integrated Oil & Gas,"New York City, New York",5/31/84,1919,Hess John,M,"$14,042,178.00 ",5/1/95
HIG,Financials,Property & Casualty Insurance,"Hartford, Connecticut",3/4/57,1810,Christopher Swift,M,"$16,086,469.00 ",6/9/14
HII,Industrials,Aerospace & Defense,"Newport News, Virginia",1/3/18,2011,Christopher Kastner,M,"$7,742,266.00 ",1/28/22
HLT,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",6/19/17,1919,Christopher Nassetta,M,"$23,532,938.00 ",10/29/07
HOLX,Health Care,Health Care Equipment,"Marlborough, Massachusetts",3/30/16,1985,Stephen MacMillan,M,"$14,335,632.00 ",12/1/13
HON,Industrials,Industrial Conglomerates,"Charlotte, North Carolina",3/4/57,1906,Darius Adamczyk,M,"$25,437,598.00 ",3/14/23
HPE,Information Technology,"Technology Hardware, Storage & Peripherals","Houston, Texas",11/2/15,2015,Antonio Neri,M,"$17,366,365.00 ",2/1/18
HPQ,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",12/31/74,1974,Enrique Lores,M,"$21,079,926.00 ",11/1/19
HRL,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",3/4/09,1891,James Snee,M,"$9,478,102.00 ",10/1/16
HSIC,Health Care,Health Care Distributors,"Melville, New York",3/17/15,1932,Stanley Bergman,M,"$8,255,135.00 ",10/15/19
HST,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",3/20/07,1993,James Risoleo,M,"$14,474,484.00 ",1/1/12
HSY,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",3/4/57,1894,Michele Buck,F,"$13,550,049.00 ",12/22/16
HUBB,Industrials,Industrial Machinery & Supplies & Components,"Shelton, Connecticut",10/18/23,1888,Gerben Bakker,M,"$9,700,000.00 ",6/6/19
HUM,Health Care,Managed Health Care,"Louisville, Kentucky",12/10/12,1961,Bruce Broussard,M,"$17,198,844.00 ",12/12/18
HWM,Industrials,Aerospace & Defense,"Pittsburgh, Pennsylvania",10/21/16,1888,John Plant,M,"$1,748,249.00 ",10/14/21
IBM,Information Technology,IT Consulting & Other Services,"Armonk, New York",3/4/57,1911,Arvind Krishna,M,"$16,580,075.00 ",3/1/11
ICE,Financials,Financial Exchanges & Data,"Atlanta, Georgia",9/26/07,2000,Jeffrey Sprecher,M,"$16,703,980.00 ",5/1/00
IDXX,Health Care,Health Care Equipment,"Westbrook, Maine",1/5/17,1983,Jonathan Mazelsky,M,"$9,788,388.00 ",12/15/20
IEX,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",8/9/19,1988,Eric Ashleman,M,"$7,495,227.00 ",4/6/20
IFF,Materials,Specialty Chemicals,"New York City, New York",3/31/76,1976,Frank Clyburn,M,"$19,271,654.00 ",1/20/22
INCY,Health Care,Biotechnology,"Wilmington, Delaware",2/28/17,1991,Herve Hoppenot,M,"$16,669,368.00 ",1/15/14
INTC,Information Technology,Semiconductors,"Santa Clara, California",12/31/76,1968,Patrick Gelsinger,M,"$11,614,700.00 ",2/15/21
INTU,Information Technology,Application Software,"Mountain View, California",12/5/00,1983,Sasan Goodarzi,M,"$27,174,857.00 ",8/1/18
INVH,Real Estate,Single-Family Residential REITs,"Dallas, Texas",9/19/22,2012,Dallas Tanner,M,"$14,166,554.00 ",1/16/19
IP,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",3/4/57,1898,Mark Sutton,M,"$13,654,752.00 ",5/1/24
IPG,Communication Services,Advertising,"New York City, New York",10/1/92,1992,Philippe Krakowsky,M,"$13,209,442.00 ",1/1/21
IQV,Health Care,Life Sciences Tools & Services,"Durham, North Carolina",8/29/17,1982,Ari Bousbib,M,"$30,135,029.00 ",10/1/16
IR,Industrials,Industrial Machinery & Supplies & Components,"Davidson, North Carolina",3/3/20,1859,Vicente Reynal,M,"$54,505,957.00 ",1/13/14
IRM,Real Estate,Other Specialized REITs,"Boston, Massachusetts",1/6/09,1951,William Meaney,M,"$15,102,071.00 ",1/1/13
ISRG,Health Care,Health Care Equipment,"Sunnyvale, California",6/2/08,1995,Gary Guthart,M,"$10,345,077.00 ",10/23/09
IT,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",4/5/17,1979,Eugene Hall,M,"$15,452,138.00 ",7/1/24
ITW,Industrials,Industrial Machinery & Supplies & Components,"Glenview, Illinois",2/28/86,1912,Scott Santi,M,"$22,234,230.00 ",10/24/19
IVZ,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",8/21/08,1935,Martin Flanagan,M,"$15,173,146.00 ",6/30/23
J,Industrials,Construction & Engineering,"Dallas, Texas",10/26/07,1947,Steven Demetriou,M,"$14,615,521.00 ",1/24/23
JBHT,Industrials,Cargo Ground Transportation,"Lowell, Arkansas",7/1/15,1961,John Roberts,M,"$9,240,455.00 ",7/1/24
JBL,Information Technology,Electronic Manufacturing Services,"St. Petersburg, Florida",12/18/23,1966,Mike Dastoor,M,"$4,820,000.00 ",5/18/24
JCI,Industrials,Building Products,"Cork, Ireland",8/27/10,1885,George Oliver,M,"$14,929,350.00 ",9/1/17
JKHY,Financials,Transaction & Payment Processing Services,"Monett, Missouri",11/13/18,1976,David Foss,M,"$9,758,392.00 ",1/22/24
JNJ,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",6/30/73,1886,Joaquin Duato,M,"$13,099,487.00 ",11/30/22
JNPR,Information Technology,Communications Equipment,"Sunnyvale, California",6/2/06,1996,Rami Rahim,M,"$16,630,540.00 ",11/1/14
JPM,Financials,Diversified Banks,"New York City, New York",6/30/75,1975,James Dimon,M,"$34,848,606.00 ",12/31/05
K,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",9/11/89,1906,Steve Cahillane,M,"$17,000,000.00 ",10/2/23
KDP,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Burlington, Massachusetts",6/21/22,1981,Robert Gamgort,M,"$12,486,492.00 ",7/1/18
KEY,Financials,Regional Banks,"Cleveland, Ohio",3/1/94,1825,Christopher Gorman,M,"$10,463,627.00 ",5/1/11
KEYS,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",11/6/18,2018,Satish Dhanasekaran,M,"$9,393,716.00 ",2/22/22
KHC,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",7/6/15,2015,Miguel Patricio,M,"$7,098,246.00 ",7/1/19
KIM,Real Estate,Retail REITs,"Jericho, New York",4/4/06,1958,Conor Flynn,M,"$11,630,048.00 ",1/1/16
KKR,Financials,Asset Management & Custody Banks,"New York City, New York",6/24/24,1976,Joseph Bae,M,"$49,960,000.00 ",10/13/21
KLAC,Information Technology,Semiconductor Materials & Equipment,"Milpitas, California",9/30/97,1997,Richard Wallace,M,"$20,568,625.00 ",7/1/19
KMB,Consumer Staples,Household Products,"Irving, Texas",3/4/57,1872,Michael Hsu,M,"$14,555,561.00 ",1/1/19
KMI,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",5/25/12,1997,Steven Kean,M,"$1,462.00 ",7/1/17
KMX,Consumer Discretionary,Automotive Retail,"Richmond, Virginia",6/28/10,1993,William Nash,M,"$11,588,743.00 ",12/26/23
KO,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Atlanta, Georgia",3/4/57,1886,James Quincey,M,"$22,822,519.00 ",12/15/16
KR,Consumer Staples,Food Retail,"Cincinnati, Ohio",3/4/57,1883,Rodney McMullen,M,"$19,209,843.00 ",1/1/14
KVUE,Consumer Staples,Personal Care Products,"Skillman, New Jersey",8/25/23,2023,Thibaut Mongon,M,"$19,720,000.00 ",5/11/22
L,Financials,Multi-line Insurance,"New York City, New York",5/31/95,1959,James Tisch,M,"$6,439,183.00 ",12/31/24
LDOS,Industrials,Diversified Support Services,"Reston, Virginia",8/9/19,1969,Roger Krone,M,"$13,548,892.00 ",7/14/14
LEN,Consumer Discretionary,Homebuilding,"Miami, Florida",10/4/05,1954,Jonathan Jaffe,M,"$30,032,983.00 ",11/3/20
LH,Health Care,Health Care Services,"Burlington, North Carolina",11/1/04,1978,Adam Schechter,M,"$14,927,297.00 ",11/1/19
LHX,Industrials,Aerospace & Defense,"Melbourne, Florida",9/22/08,2008,Christopher Kubasik,M,"$16,714,229.00 ",10/1/18
LIN,Materials,Industrial Gases,"Guildford, United Kingdom",7/1/92,1879,Sanjiv Lamba,M,"$14,601,322.00 ",2/28/22
LKQ,Consumer Discretionary,Distributors,"Chicago, Illinois",5/23/16,1998,Dominick Zarcone,M,"$10,740,892.00 ",11/27/23
LLY,Health Care,Pharmaceuticals,"Indianapolis, Indiana",12/31/70,1876,David Ricks,M,"$21,398,135.00 ",1/1/17
LMT,Industrials,Aerospace & Defense,"Bethesda, Maryland",3/4/57,1995,James Taiclet,M,"$24,810,545.00 ",6/15/20
LNT,Utilities,Electric Utilities,"Madison, Wisconsin",7/1/16,1917,John Larsen Board,M,"$7,286,977.00 ",1/1/24
LOW,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",2/29/84,1904/1946/1959,Marvin Ellison,M,"$17,472,005.00 ",7/2/18
LRCX,Information Technology,Semiconductor Materials & Equipment,"Fremont, California",6/29/12,1980,Timothy Archer,M,"$16,941,156.00 ",11/1/16
LULU,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Vancouver, Canada",10/18/23,1998,Calvin McDonald,M,"$16,500,000.00 ",7/24/18
LUV,Industrials,Passenger Airlines,"Dallas, Texas",7/1/94,1967,Robert Jordan,M,"$5,333,960.00 ",2/1/22
LVS,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",10/3/19,1988,Robert Goldstein,M,"$11,410,263.00 ",7/14/14
LW,Consumer Staples,Packaged Foods & Meats,"Eagle, Idaho",12/3/18,2018,Thomas Werner,M,"$20,352,276.00 ",1/7/21
LYB,Materials,Specialty Chemicals,"Rotterdam, Netherlands",9/5/12,2007,Peter Vanacker,M,"$17,018,989.00 ",5/23/22
LYV,Communication Services,Movies & Entertainment,"Beverly Hills, California",12/23/19,2010,Michael Rapino,M,"$139,005,565.00 ",12/25/05
MA,Financials,Transaction & Payment Processing Services,"Harrison, New York",7/18/08,1966,Michael Miebach,M,"$21,058,543.00 ",1/1/21
MAA,Real Estate,Multi-Family Residential REITs,"Memphis, Tennessee",12/2/16,1977,Eric Bolton,M,"$8,369,017.00 ",10/1/02
MAR,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",5/29/98,1927,Anthony Capuano,M,"$18,686,271.00 ",2/15/21
MAS,Industrials,Building Products,"Livonia, Michigan",6/30/81,1929,Keith Allman,M,"$6,261,228.00 ",11/28/11
MCD,Consumer Discretionary,Restaurants,"Chicago, Illinois",6/30/70,1940,Christopher Kempczinski,M,"$17,770,514.00 ",11/3/19
MCHP,Information Technology,Semiconductors,"Chandler, Arizona",9/7/07,1989,Ganesh Moorthy,M,"$12,276,315.00 ",3/1/21
MCK,Health Care,Health Care Distributors,"Irving, Texas",1/13/99,1833,Brian Tyler,M,"$20,221,325.00 ",4/1/19
MCO,Financials,Financial Exchanges & Data,"New York City, New York",7/1/98,1909,Robert Fauber,M,"$11,619,773.00 ",11/1/19
MDLZ,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",10/2/12,2012,Van de Put Dirk,M,"$17,925,677.00 ",5/6/18
MDT,Health Care,Health Care Equipment,"Dublin, Ireland",10/31/86,1949,Geoffrey Martha,M,"$15,394,633.00 ",4/27/20
MET,Financials,Life & Health Insurance,"New York City, New York",12/11/00,1868,Michel Khalaf,M,"$18,107,426.00 ",5/1/19
META,Communication Services,Interactive Media & Services,"Menlo Park, California",12/23/13,2004,Mark Zuckerberg,M,"$27,110,418.00 ",5/2/14
MGM,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",7/26/17,1986,William Hornbuckle,M,"$16,238,075.00 ",7/29/20
MHK,Consumer Discretionary,Home Furnishings,"Calhoun, Georgia",12/23/13,1878,Jeffrey Lorberbaum,M,"$4,259,954.00 ",3/1/94
MKC,Consumer Staples,Packaged Foods & Meats,"Hunt Valley, Maryland",3/20/03,1889,Lawrence Kurzius,M,"$10,426,035.00 ",2/1/16
MKTX,Financials,Financial Exchanges & Data,"New York City, New York",7/1/19,2000,Richard McVey,M,"$5,553,833.00 ",4/3/23
MLM,Materials,Construction Materials,"Raleigh, North Carolina",7/2/14,1993,Howard Nye,M,"$12,784,251.00 ",1/1/10
MMC,Financials,Insurance Brokers,"New York City, New York",8/31/87,1905,Daniel Glaser,M,"$30,924,435.00 ",9/26/22
MMM,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",3/4/57,1902,Michael Roman,M,"$14,031,387.00 ",5/4/18
MNST,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Corona, California",6/28/12,2012,Rodney Sacks,M,"$15,417,084.00 ",1/14/21
MO,Consumer Staples,Tobacco,"Richmond, Virginia",3/4/57,1985,William Gifford,M,"$16,199,700.00 ",4/16/20
MOH,Health Care,Managed Health Care,"Long Beach, California",3/2/22,1980,Joseph Zubretsky,M,"$22,131,256.00 ",11/6/17
MOS,Materials,Fertilizers & Agricultural Chemicals,"Tampa, Florida",9/26/11,2011,James O Rourke,M,"$12,063,106.00 ",1/1/24
MPC,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",7/1/11,2011,Michael Hennigan,M,"$21,288,532.00 ",8/1/24
MPWR,Information Technology,Semiconductors,"Kirkland, Washington",2/12/21,1997,Michael Hsing,M,"$20,664,936.00 ",8/1/97
MRK,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",3/4/57,1891,Robert Davis,M,"$18,650,093.00 ",7/1/21
MRNA,Health Care,Biotechnology,"Cambridge, Massachusetts",7/21/21,2010,Stephane Bancel,M,"$19,363,648.00 ",2/7/24
MRO,Energy,Oil & Gas Exploration & Production,"Houston, Texas",3/4/57,1887,Lee Tillman,M,"$11,931,683.00 ",6/13/13
MS,Financials,Investment Banking & Brokerage,"New York City, New York",7/29/93,1935,James Gorman,M,"$39,398,905.00 ",1/1/10
MSCI,Financials,Financial Exchanges & Data,"New York City, New York",4/4/18,1969,Henry Fernandez,M,"$12,998,816.00 ",6/20/98
MSFT,Information Technology,Systems Software,"Redmond, Washington",6/1/94,1975,Satya Nadella,M,"$54,946,310.00 ",2/4/14
MSI,Information Technology,Communications Equipment,"Chicago, Illinois",3/4/57,1957,Gregory Brown,M,"$21,016,481.00 ",5/16/23
MTB,Financials,Regional Banks,"Buffalo, New York",2/23/04,1856,Rene Jones,M,"$8,815,707.00 ",12/20/17
MTCH,Communication Services,Interactive Media & Services,"Dallas, Texas",9/20/21,1986,Bernaard Kim,M,"$23,921,211.00 ",5/31/22
MTD,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",9/6/16,1945,Patrick Kaltenbach,M,"$6,223,115.00 ",12/15/20
MU,Information Technology,Semiconductors,"Boise, Idaho",9/27/94,1978,Sanjay Mehrotra,M,"$28,840,809.00 ",4/27/17
NCLH,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",10/13/17,2017,Frank Del Rio,M,"$21,209,333.00 ",6/30/23
NDAQ,Financials,Financial Exchanges & Data,"New York City, New York",10/22/08,1971,Adena Friedman,F,"$28,045,305.00 ",1/1/17
NDSN,Industrials,Industrial Machinery & Supplies & Components,"Westlake, Ohio",2/15/22,1935,Sundaram Nagarajan,M,"$8,432,113.00 ",8/1/19
NEE,Utilities,Multi-Utilities,"Juno Beach, Florida",6/30/76,1976,John Ketchum,M,"$17,414,329.00 ",3/1/22
NEM,Materials,Gold,"Denver, Colorado",6/30/69,1921,Tom Palmer,M,"$13,654,538.00 ",7/23/19
NFLX,Communication Services,Movies & Entertainment,"Los Gatos, California",12/20/10,1997,Reed Hastings,M,"$51,073,237.00 ",1/20/23
NI,Utilities,Multi-Utilities,"Merrillville, Indiana",11/2/00,1912,Lloyd Yates,M,"$7,113,506.00 ",2/14/15
NKE,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",11/30/88,1964,John Donahoe,M,"$32,789,885.00 ",10/1/19
NOC,Industrials,Aerospace & Defense,"West Falls Church, Virginia",3/4/57,1957,Kathy Warden,F,"$20,672,072.00 ",1/1/19
NOW,Information Technology,Systems Software,"Santa Clara, California",11/21/19,2003,William McDermott,M,"$38,502,528.00 ",10/22/19
NRG,Utilities,Independent Power Producers & Energy Traders,"Houston, Texas",1/29/10,1992,Mauricio Gutierrez,M,"$10,151,847.00 ",11/20/23
NSC,Industrials,Rail Transportation,"Atlanta, Georgia",3/4/57,1957,Alan Shaw,M,"$9,770,910.00 ",5/1/22
NTAP,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",6/25/99,1992,George Kurian,M,"$11,370,423.00 ",6/1/15
NTRS,Financials,Asset Management & Custody Banks,"Chicago, Illinois",1/30/98,1889,Michael O'Grady,M,"$10,816,639.00 ",1/1/18
NUE,Materials,Steel,"Charlotte, North Carolina",4/30/85,1940,Leon Topalian,M,"$23,073,171.00 ",1/1/20
NVDA,Information Technology,Semiconductors,"Santa Clara, California",11/30/01,1993,Jen-Hsun Huang,M,"$21,356,924.00 ",1/22/99
NVR,Consumer Discretionary,Homebuilding,"Reston, Virginia",9/26/19,1980,Eugene Bredow,M,"$19,289,010.00 ",5/4/22
NWSA,Communication Services,Publishing,"New York City, New York",8/1/13,2013,Robert Thomson,M,"$19,662,203.00 ",1/1/13
NXPI,Information Technology,Semiconductors,"Eindhoven, Netherlands",3/22/21,1953,Kurt Sievers,M,"$20,771,851.00 ",5/27/20
O,Real Estate,Retail REITs,"San Diego, California",4/7/15,1969,Sumit Roy,M,"$14,286,815.00 ",10/16/18
ODFL,Industrials,Cargo Ground Transportation,"Thomasville, North Carolina",12/9/19,1934,Greg Gantt,M,"$12,828,375.00 ",7/1/23
OKE,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",3/15/10,1906,Pierce Norton,M,"$8,139,024.00 ",5/25/21
OMC,Communication Services,Advertising,"New York City, New York",12/31/97,1986,John Wren,M,"$20,679,168.00 ",2/24/06
ON,Information Technology,Semiconductors,"Phoenix, Arizona",6/21/22,1999,Hassane El-Khoury,M,"$16,519,702.00 ",12/7/20
ORCL,Information Technology,Application Software,"Austin, Texas",8/31/89,1977,Safra Catz,F,"$5,250,680.00 ",9/1/19
ORLY,Consumer Discretionary,Automotive Retail,"Springfield, Missouri",3/27/09,1957,Greg Johnson,M,"$5,477,351.00 ",1/31/24
OTIS,Industrials,Industrial Machinery & Supplies & Components,"Farmington, Connecticut",4/3/20,2020,Judy Marks,F,"$14,477,875.00 ",12/8/21
OXY,Energy,Oil & Gas Exploration & Production,"Houston, Texas",3/4/57,1920,Vicki Hollub,F,"$14,969,510.00 ",4/1/16
PANW,Information Technology,Systems Software,"Santa Clara, California",6/20/23,2005,Nikesh Arora,M,"$151,425,203.00 ",6/1/18
PARA,Communication Services,Movies & Entertainment,"New York City, New York",9/30/94,1994,Robert Bakish,M,"$32,046,006.00 ",12/4/19
PAYC,Industrials,Human Resource & Employment Services,"Oklahoma City, Oklahoma",1/28/20,1998,Chad Richison,M,"$3,138,418.00 ",8/1/16
PAYX,Industrials,Human Resource & Employment Services,"Penfield, New York",10/1/98,1971,John Gibson,M,"$6,680,180.00 ",10/1/22
PCAR,Industrials,Construction Machinery & Heavy Transportation Equipment,"Bellevue, Washington",12/31/80,1905,Preston Feight,M,"$9,961,737.00 ",7/1/19
PCG,Utilities,Multi-Utilities,"San Francisco, California",10/3/22,1905,Patricia Poppe,F,"$14,120,593.00 ",1/4/21
PEG,Utilities,Electric Utilities,"Newark, New Jersey",3/4/57,1903,Ralph LaRossa,M,"$9,510,542.00 ",9/1/22
PEP,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Purchase, New York",3/4/57,1898,Ramon Laguarta,M,"$28,388,228.00 ",8/6/18
PFE,Health Care,Pharmaceuticals,"New York City, New York",3/4/57,1849,Albert Bourla,M,"$33,017,453.00 ",1/1/19
PFG,Financials,Life & Health Insurance,"Des Moines, Iowa",7/22/02,1879,Daniel Houston,M,"$13,804,149.00 ",8/18/15
PG,Consumer Staples,Personal Care Products,"Cincinnati, Ohio",3/4/57,1837,Jon Moeller,M,"$21,715,625.00 ",11/1/21
PGR,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",8/4/97,1937,Susan Patricia Griffith,F,"$12,748,826.00 ",7/1/16
PH,Industrials,Industrial Machinery & Supplies & Components,"Cleveland, Ohio",11/30/85,1917,Jennifer Parmentier,F,"$16,404,346.00 ",1/1/23
PHM,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",4/30/84,1956,Ryan Marshall,M,"$14,484,024.00 ",9/1/16
PKG,Materials,Paper & Plastic Packaging Products & Materials,"Lake Forest, Illinois",7/26/17,1959,Mark Kowlzan,M,"$12,231,634.00 ",7/1/10
PLD,Real Estate,Industrial REITs,"San Francisco, California",7/17/03,1983,Hamid Moghadam,M,"$48,152,756.00 ",1/1/13
PM,Consumer Staples,Tobacco,"New York City, New York",3/31/08,2008,Jacek Olczak,M,"$15,775,108.00 ",5/5/21
PNC,Financials,Regional Banks,"Pittsburgh, Pennsylvania",4/30/88,1845,William Demchak,M,"$19,473,490.00 ",4/16/24
PNR,Industrials,Industrial Machinery & Supplies & Components,"Worsley, United Kingdom",10/1/12,1966,John Stauch,M,"$7,783,265.00 ",2/1/07
PNW,Utilities,Multi-Utilities,"Phoenix, Arizona",10/4/99,1985,Jeffrey Guldner,M,"$8,358,317.00 ",11/15/19
PODD,Health Care,Health Care Equipment,"Acton, Massachusetts",3/15/23,2000,James Hollingshead,M,"$10,817,028.00 ",6/1/22
POOL,Consumer Discretionary,Distributors,"Covington, Louisiana",10/7/20,1993,Peter Arvan,M,"$5,846,697.00 ",9/16/22
PPG,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",3/4/57,1883,Tim Knavish,M,"$2,861,192.00 ",10/1/23
PPL,Utilities,Electric Utilities,"Allentown, Pennsylvania",10/1/01,1920,Vincent Sorgi,M,"$9,146,575.00 ",6/1/20
PRU,Financials,Life & Health Insurance,"Newark, New Jersey",7/22/02,1875,Charles Lowrey,M,"$20,093,608.00 ",12/1/18
PSA,Real Estate,Self-Storage REITs,"Glendale, California",8/19/05,1972,Joseph Russell,M,"$9,201,442.00 ",1/1/19
PSX,Energy,Oil & Gas Refining & Marketing,"Houston, Texas",5/1/12,2012,Mark Lashier,M,"$16,288,870.00 ",4/12/22
PTC,Information Technology,Application Software,"Boston, Massachusetts",4/20/21,1985,James Heppelmann,M,"$12,887,115.00 ",7/26/23
PWR,Industrials,Construction & Engineering,"Houston, Texas",7/1/09,1997,Earl Austin,M,"$12,038,960.00 ",3/14/16
PYPL,Financials,Transaction & Payment Processing Services,"San Jose, California",7/20/15,1998,Daniel Schulman,M,"$21,957,922.00 ",9/30/14
QCOM,Information Technology,Semiconductors,"San Diego, California",7/22/99,1985,Christiano Amon,M,"$4,754,113.00 ",6/30/21
QRVO,Information Technology,Semiconductors,"Greensboro, North Carolina",6/11/15,2015,Robert Bruggeworth,M,"$11,693,756.00 ",1/1/03
RCL,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",12/5/14,1997,Jason Liberty,M,"$10,764,258.00 ",1/1/22
REG,Real Estate,Retail REITs,"Jacksonville, Florida",3/2/17,1963,Lisa Palmer,F,"$8,649,788.00 ",8/19/19
REGN,Health Care,Biotechnology,"Tarrytown, New York",5/1/13,1988,Leonard Schleifer,M,"$7,004,069.00 ",4/1/91
RF,Financials,Regional Banks,"Birmingham, Alabama",8/28/98,1971,John Turner,M,"$14,552,365.00 ",7/2/18
RJF,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida",3/20/17,1962,Paul Reilly,M,"$19,000,000.00 ",5/1/10
RL,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",2/2/07,1967,Patrice Louvet,M,"$14,471,356.00 ",5/17/17
RMD,Health Care,Health Care Equipment,"San Diego, California",7/26/17,1989,Michael Farrell,M,"$11,659,210.00 ",3/1/13
ROK,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin",3/12/00,1903,Blake Moret,M,"$10,987,703.00 ",7/1/16
ROL,Industrials,Environmental & Facilities Services,"Atlanta, Georgia",10/1/18,1948,Gary Rollins,M,"$7,760,204.00 ",1/1/23
ROP,Information Technology,Electronic Equipment & Instruments,"Sarasota, Florida",12/23/09,1981,Neill Hunn,M,"$21,893,365.00 ",9/1/18
ROST,Consumer Discretionary,Apparel Retail,"Dublin, California",12/21/09,1982,Barbara Rentler,F,"$11,335,069.00 ",6/20/23
RSG,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",12/5/08,2008,Joe Vander Ark,M,"$9,835,321.00 ",3/30/21
